ds_sale_price_formula,ds_purchase_price_formula,ds_material_alias,vl_quantity_sell,vl_unit_price_sell,cd_alias_language,cd_product_id,lower(ds_category_en),lower(ds_record_type_name)
"","","Copper Cable, min. 60% Cu",19.00,2.080000,en,18030,cables,retail
"","","Bright copper, no 1, Millberry",126.00,4.830000,en,18025,copper,retail
"","","Aluminium, miscellaneous",32.00,0.640000,en,18003,aluminium,retail
"","",Modules - mixed materials,1.10,0.760000,en,10139,electronics,retail
"","",Copper cable with plug,1.60,0.890000,en,18029,cables,retail
"","",Hartmetall Wendeschneidplatten,14.00,11.940000,de,18017,tungsten carbide,retail
"","","Brass, miscellaneous",171.00,2.760000,en,18036,yellow brass,retail
"","",Disc drives,2.10,0.220000,en,18055,pc components,retail
"","","Brass, miscellaneous",5.50,2.690000,en,18036,yellow brass,retail
"","",Modules - mixed materials,6.50,0.760000,en,10139,electronics,retail
"","","Cast aluminium, new",2.60,0.980000,en,18013,aluminium,retail
"","","Copper Cable, min. 38% Cu",613.50,1.480000,en,18028,cables,retail
"","","E1 - iron and steel, miscellaneous scrap",670.00,0.080000,en,18060,iron and steel,retail
"","",Disc drives,37.00,0.210000,en,18055,pc components,retail
"","","Heavy copper, berry min. 98% Cu",25.00,3.900000,en,18022,copper,retail
"","",Disc drives,0.10,15.570000,en,18055,pc components,retail
"","",Electric motors - large,1.40,0.420000,en,10212,electronics,retail
"","","Copper Cable, min. 38% Cu",45.10,1.470000,en,18028,cables,retail
"","",Class 3 circuit boards,0.70,2.060000,en,18045,pcbs,retail
"","","Aluminium, miscellaneous",7.00,0.710000,en,18003,aluminium,retail
"","","E1 - iron and steel, miscellaneous scrap",3.50,0.070000,en,18060,iron and steel,retail
"","",Class 3 circuit boards,6.30,2.060000,en,18045,pcbs,retail
"","","Cast aluminium, old",2.50,0.940000,en,18014,aluminium,retail
"","","Aluminium profiles, painted",1.10,1.030000,en,18002,aluminium,retail
"","","Cast aluminium, new",4.70,0.990000,en,18013,aluminium,retail
"","",Class 3 circuit boards,14.00,2.060000,en,18045,pcbs,retail
"","",Cable sheath lead,5.50,1.410000,en,18064,lead,retail
"","","Copper, miscellaneous, low-grade, old",330.00,4.240000,en,18024,copper,retail
"","",Hartmetall Wendeschneidplatten,10.80,12.540000,de,18017,tungsten carbide,retail
"","",Aluminium cans,0.90,0.340000,en,17966,aluminium,retail
"","",AlCu radiators (28%cu),1.40,0.583333,en,31021,aluminium,retail
"","",Class 3 circuit boards,25.60,1.920000,en,18045,pcbs,retail
"","","Aluminium profiles, bare (new)",76.00,1.400000,en,18001,aluminium,retail
